xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
6.130149762048610063e-01,9.422177163141221001e-01,-1.740280607818594505e-01,7.650339294558017311e-01,6.539754571011566209e-02
6.209760797919371411e-01,9.408260396378880230e-01,-1.755872398297042558e-01,7.599621814770864958e-01,6.770842235216294192e-02
6.289371833790132760e-01,9.394220394078265368e-01,-1.771239960564113813e-01,7.548720605646614956e-01,7.006351869836584256e-02
6.368982869660894108e-01,9.380058942603775041e-01,-1.786382991165554601e-01,7.497648105136831553e-01,7.246273746187475995e-02
6.448593905531654347e-01,9.365777830475311427e-01,-1.801301250578347946e-01,7.446416633109940175e-01,7.490596572209842763e-02
6.528204941402415695e-01,9.351378847858070609e-01,-1.815994562379652233e-01,7.395038386804101416e-01,7.739307518105652262e-02
6.607815977273177044e-01,9.336863786078005711e-01,-1.830462812442492648e-01,7.343525436527659211e-01,7.992392242784139567e-02
6.687427013143938392e-01,9.322234437124505835e-01,-1.844705948058186495e-01,7.291889721468824970e-01,8.249834920669311955e-02
6.767038049014699741e-01,9.307492593166023509e-01,-1.858723977052525178e-01,7.240143045706795011e-01,8.511618269099345546e-02
6.846649084885461090e-01,9.292640046071642956e-01,-1.872516966878972067e-01,7.188297074398312114e-01,8.777723576211303447e-02
6.926260120756221328e-01,9.277678586939263061e-01,-1.886085043691156649e-01,7.136363330141262118e-01,9.048130729280934315e-02
7.005871156626982676e-01,9.262610005631025656e-01,-1.899428391396937310e-01,7.084353189516426896e-01,9.322818243488538437e-02
7.085482192497744025e-01,9.247436090316645263e-01,-1.912547250696312595e-01,7.032277879808405130e-01,9.601763291083104113e-02
7.165093228368505374e-01,9.232158627025298658e-01,-1.925441918105458283e-01,6.980148475906421401e-01,9.884941730918485325e-02
7.244704264239266722e-01,9.216779399206707080e-01,-1.938112744969165413e-01,6.927975897385446613e-01,1.017232813833674476e-01
7.324315300110028071e-01,9.201300187302086098e-01,-1.950560136463959926e-01,6.875770905767936148e-01,1.046389583537553208e-01
7.403926335980788309e-01,9.185722768322210907e-01,-1.962784550586887944e-01,6.823544101954818197e-01,1.075961692123806879e-01
7.483537371851549658e-01,9.170048915415285329e-01,-1.974786497092767823e-01,6.771305923766257617e-01,1.105946230277897180e-01
7.563148407722311006e-01,9.154280397470360153e-01,-1.986566536479887346e-01,6.719066643743700773e-01,1.136340172550764221e-01
7.642759443593072355e-01,9.138418978716268404e-01,-1.998125278939332505e-01,6.666836367075629211e-01,1.167140380462666771e-01
7.722370479463833703e-01,9.122466418330035243e-01,-2.009463383298170647e-01,6.614625029691939551e-01,1.198343605622720770e-01
7.801981515334595052e-01,9.106424470054172993e-01,-2.020581555956282305e-01,6.562442396522347732e-01,1.229946492860694157e-01
7.881592551205356401e-01,9.090294881821966433e-01,-2.031480549815795900e-01,6.510298059913225410e-01,1.261945583367029278e-01
7.961203587076116639e-01,9.074079395391057012e-01,-2.042161163204621321e-01,6.458201438201199851e-01,1.294337317838566426e-01
8.040814622946877988e-01,9.057779745985620190e-01,-2.052624238795570932e-01,6.406161774441648804e-01,1.327118039627552259e-01
8.120425658817639336e-01,9.041397661947433440e-01,-2.062870662522566512e-01,6.354188135290131934e-01,1.360283997891653662e-01
8.200036694688400685e-01,9.024934864396132461e-01,-2.072901362495421229e-01,6.302289410034666028e-01,1.393831350742844311e-01
8.279647730559162033e-01,9.008393066898955359e-01,-2.082717307914694060e-01,6.250474309776639092e-01,1.427756168393168323e-01
8.359258766429923382e-01,8.991773975150270104e-01,-2.092319507988103511e-01,6.198751366758047388e-01,1.462054436295540383e-01
8.438869802300683620e-01,8.975079286654408239e-01,-2.101709010835990654e-01,6.147128933811768503e-01,1.496722058267930811e-01
8.518480838171444969e-01,8.958310690416277922e-01,-2.110886902395399667e-01,6.095615183946079263e-01,1.531754859603959296e-01
8.598091874042206317e-01,8.941469866650296749e-01,-2.119854305345668100e-01,6.044218110092347551e-01,1.567148590183773671e-01
8.677702909912967666e-01,8.924558486490390408e-01,-2.128612378021180751e-01,5.992945524959091275e-01,1.602898927558507047e-01
8.757313945783729014e-01,8.907578211710739380e-01,-2.137162313331585073e-01,5.941805061019188594e-01,1.639001480019769696e-01
8.836924981654490363e-01,8.890530694454814586e-01,-2.145505337685208458e-01,5.890804170619245994e-01,1.675451789648689238e-01
8.916536017525250601e-01,8.873417576972796317e-01,-2.153642709916620823e-01,5.839950126208058867e-01,1.712245335342689190e-01
8.996147053396011950e-01,8.856240491367439738e-01,-2.161575720219275631e-01,5.789250020680970499e-01,1.749377535818311957e-01
9.075758089266773299e-01,8.839001059348464695e-01,-2.169305689084168320e-01,5.738710767836959770e-01,1.786843752588511969e-01
9.155369125137534647e-01,8.821700891995553073e-01,-2.176833966245453611e-01,5.688339102945267900e-01,1.824639292912983435e-01
9.234980161008295996e-01,8.804341589530016998e-01,-2.184161929633952615e-01,5.638141583418315728e-01,1.862759412720201568e-01
9.314591196879057344e-01,8.786924741095226699e-01,-2.191290984339494263e-01,5.588124589587701863e-01,1.901199319500005702e-01
9.394202232749818693e-01,8.769451924545402788e-01,-2.198222561581920365e-01,5.538294325578697608e-01,1.939954175164710637e-01
9.473813268620578931e-01,8.751924706238088936e-01,-2.204958117680273777e-01,5.488656820266627490e-01,1.979019098867485782e-01
9.553424304491340280e-01,8.734344640840376872e-01,-2.211499133044361465e-01,5.439217928340592811e-01,2.018389169797154548e-01
