xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
1.430367231807951889e+00,7.710617115245083086e-01,-2.185715899959264630e-01,2.725496884213993165e-01,4.471866358779207351e-01
1.440369729932483134e+00,7.688771247029451139e-01,-2.182345722184848291e-01,2.687105394356772980e-01,4.527636198034820092e-01
1.450372228057014157e+00,7.666959708638374504e-01,-2.178852160003603433e-01,2.649207066425444124e-01,4.583388955023176559e-01
1.460374726181545402e+00,7.645183718980838039e-01,-2.175238254751529765e-01,2.611798278771680359e-01,4.639118315952139859e-01
1.470377224306076425e+00,7.623444466742347325e-01,-2.171507008213976186e-01,2.574875322828061863e-01,4.694818090010551836e-01
1.480379722430607670e+00,7.601743110781771229e-01,-2.167661382399601044e-01,2.538434408540527487e-01,4.750482209121905663e-01
1.490382220555138693e+00,7.580080780530352724e-01,-2.163704299349940297e-01,2.502471669643920316e-01,4.806104727618078498e-01
1.500384718679669938e+00,7.558458576392376171e-01,-2.159638640983321811e-01,2.466983168781773650e-01,4.861679821836838444e-01
1.510387216804200960e+00,7.536877570147026972e-01,-2.155467248971867089e-01,2.431964902471711043e-01,4.917201789646645227e-01
1.520389714928732205e+00,7.515338805350969542e-01,-2.151192924650319749e-01,2.397412805917945033e-01,4.972665049902237899e-01
1.530392213053263228e+00,7.493843297742165399e-01,-2.146818428955090952e-01,2.363322757674075070e-01,5.028064141833483713e-01
1.540394711177794473e+00,7.472392035645191166e-01,-2.142346482392313844e-01,2.329690584158941868e-01,5.083393724370772748e-01
1.550397209302325496e+00,7.450985980374805751e-01,-2.137779765034702462e-01,2.296512064022905864e-01,5.138648575412451125e-01
1.560399707426856741e+00,7.429626066640451221e-01,-2.133120916544841150e-01,2.263782932371451173e-01,5.193823591034685272e-01
1.570402205551387764e+00,7.408313202950170817e-01,-2.128372536224286404e-01,2.231498884846352115e-01,5.248913784647991632e-01
1.580404703675919009e+00,7.387048272014030692e-01,-2.123537183087230162e-01,2.199655581567253604e-01,5.303914286103107445e-01
1.590407201800450032e+00,7.365832131146731188e-01,-2.118617375957682070e-01,2.168248650935939159e-01,5.358820340749224087e-01
1.600409699924981277e+00,7.344665612669091237e-01,-2.113615593589114328e-01,2.137273693305617728e-01,5.413627308447449549e-01
1.610412198049512300e+00,7.323549524308095027e-01,-2.108534274805530240e-01,2.106726284517609071e-01,5.468330662542240095e-01
1.620414696174043545e+00,7.302484649595168964e-01,-2.103375818662899244e-01,2.076601979307833301e-01,5.522925988793411234e-01
1.630417194298574568e+00,7.281471748263086408e-01,-2.098142584629785756e-01,2.046896314586566790e-01,5.577408984270794123e-01
1.640419692423105813e+00,7.260511556641674469e-01,-2.092836892786310576e-01,2.017604812594566144e-01,5.631775456214344056e-01
1.650422190547636836e+00,7.239604788050123529e-01,-2.087461024040843938e-01,1.988722983935361788e-01,5.686021320862996165e-01
1.660424688672168081e+00,7.218752133187775755e-01,-2.082017220363016063e-01,1.960246330489332500e-01,5.740142602253367476e-01
1.670427186796699104e+00,7.197954260522334557e-01,-2.076507685032365769e-01,1.932170348210965338e-01,5.794135430991069757e-01
1.680429684921230349e+00,7.177211816675591605e-01,-2.070934582901703680e-01,1.904490529812359889e-01,5.847996042996730370e-01
1.690432183045761372e+00,7.156525426806480406e-01,-2.065300040674392101e-01,1.877202367335612798e-01,5.901720778228910502e-01
1.700434681170292617e+00,7.135895694991266636e-01,-2.059606147194733838e-01,1.850301354616717131e-01,5.955306079386041285e-01
1.710437179294823640e+00,7.115323204600682017e-01,-2.053854953750668400e-01,1.823782989643605579e-01,6.008748490589268521e-01
